Pairs,IBS
B-17INBR.FR.SUPERGOLD_RB-17INBR.FR.SUPERGOLD,0.992
B-18INBR.FR.SUPERGOLD_SG30A,0.9814
B2_CI28,0.9609
B21_Fe,0.943
B-22INBR.FR.SUPERGOLD_R-22INBR.FR.SUPERGOLD,0.9611
B-28_H101,0.9735
B37_B37T,0.9942
B37T_B37,0.9942
B37TRf_B37,0.9888
B38_B10,0.9469
B41_Mo402,0.9979
B42_MS223,0.8965
B45_B46,0.9443
B-4541_R-4524,0.8969
B46_B45,0.9443
B47_B37T,0.9649
B49_R004,0.9017
B52_B86,0.9339
B54_B42,0.8787
B55_A14NW,0.929
B56_AH83,0.9083
B57_A622N,0.9394
B59_B14,0.9745
B64_B68,0.9601
B65_Wf9,0.9707
B66_Oh43T,0.9233
B67_B14,0.9121
B68_Hi31,0.9872
B69_B14,0.9299
B7_WXI205,0.882
B70_B92,0.9631
B73_GEMS-0101,0.9992
B73HT_GEMS-0101,0.9798
B73Htrhm_B73,0.9982
B75_B55,0.8976
B76_B37,0.9752
B77_LH93,0.8758
B79_R226,0.911
B8_ND-B8,0.9858
B84_B84+/su,0.9848
B84+/su_B84,0.9848
B85_B100,0.9023
B86_B52,0.9339
B87_29MIBZ2,0.8926
B88_GEMN-0112,0.906
B89_B111,0.9289
B90_B91,0.9331
B91_B117,0.9394
B92_B70,0.9631
B93_H99,0.96
B94_GEMS-0001,0.978
B95_B90,0.9243
B96_B49,0.9002
B97_B117,0.9703
B98_B115,0.8831
B99_B116,0.959
BAIIIIb-6_Mo44,0.9275
BAIIIId-2_Mo44,0.9355
BAITOUSHUANGIN.JI095_DAJINDINGJI0018,0.8923
BCC03_LH51,0.9239
Bei10=North10_W59E,0.9102
BO385Y_F2834T,0.967
BO394Y_F2834T,0.9467
BO46W_M37W,0.9612
BO9_B37,0.9256
BR-1-1_BR-15DENTSTERILE,0.9114
BR-15DENTSTERILE_CA-15-1DENTSTERILE,0.9636
BR-17INBR.FR.SUPERGOLD_Sg18,0.9821
BR-22_R-22INBR.FR.SUPERGOLD,0.9629
BR-28INBR.FR.YEL.PEARL_RB-17INBR.FR.SUPERGOLD,0.9421
B-WHO-201_OC7,0.8914
C102_C123,0.9173
C103_C103T,0.9856
C103T_C103,0.9856
C12-1_T8302INBRED,0.9359
C123_5707,0.9428
C13_A334,0.8943
C14_A218,0.8869
C15_W3647,0.9355
C18_P51,0.9276
C22_C31,0.912
C27_C42,0.9067
C3_C5,0.8956
C30_909,0.9913
C31_C38,0.9976
C38_C31,0.9976
C40_P51,0.962
C410-1F11INBREDHOTNOTCROSSES_A14INBREDPOTCHEFSTROOMPEARL,0.8797
C42_M23,0.9295
C49_C49A,0.9974
C49A_C49,0.9974
C5_Ia2076,0.9346
C5Ark1956_C7,0.9426
C68_5261,0.9004
C7_C5Ark1956,0.9426
C70_89365,0.928
C7e_C7,0.9236
C8pseudo_H26w,0.9976
C90_W6757,0.9836
CA-15-1DENTSTERILE_CA-15-2DENTSTERILE,0.9745
CA-15-2DENTSTERILE_CA-15-1DENTSTERILE,0.9745
CA-4_I29,0.8838
CA-53INBR.FR.YELPEARL_R-53-2INBR.FR.YELPEARL,0.9556
CG10_A96,0.8906
CH157_B73,0.8741
CH701-30_W23,0.9041
CH705-8_CH9,0.9453
CH711-10_C103T,0.9101
CH732-12_B14,0.9376
CH741-6_B14,0.941
CH753-4_A635RpRp,0.9736
CH9_CH705-8,0.9453
CHAN11INBRED_Oh43,0.9027
CHI-41_KUNG-70,0.939
CHI-503_M14,0.9057
CHI-69INB._HUA94INBRED,0.9972
Chi-tan120_M14,0.9124
CI1_CI11B,0.9185
CI11B_CI46,0.9375
CI12_CI91C,0.8791
CI127_GE19,0.8716
CI187-2_CI91B,0.937
CI19_CI93A,0.9111
CI2_CI23,0.8936
CI20_CI83A,0.898
CI21E_EZ19,0.9947
CI23_CI27,0.942
CI24_CI3,0.9047
CI27_CI23,0.942
CI28_CI28B,0.9977
CI28A_CI28B,0.9759
CI28B_CI28,0.9977
CI28C_CI28,0.9609
CI29B_Wf9,0.9735
CI3_CI3A,0.9685
CI30_Os420,0.9232
CI31_CI31A,0.9899
CI317B_L317,0.9586
CI31A_CI31,0.9899
CI32_L317,0.9505
CI34_T8,0.928
CI38B_WX38-11,0.9603
CI3A_CI3,0.9685
CI40A_CI40H,0.9862
CI40H_CI40A,0.9862
CI41_B73,0.8678
CI42A_CI42B,0.9978
CI42B_CI42A,0.9978
CI43_CI23,0.8739
CI45_R004,0.9168
CI46_CI70,0.9974
CI49A_Mo502W,0.9498
CI4A_M14,0.9055
CI540_Oh7,0.9348
CI64_WXK64,0.9636
CI66_AusTRCF305806,0.9974
CI7_CI7A,0.9791
CI70_CI46,0.9974
CI72_Mo8W,0.8727
CI74_AusTRCF305801,0.8731
CI75_B164,0.9006
CI7A_CI7,0.9791
CI7Goodman-Buckler_CI7,0.9768
CI81B_CI19,0.8991
CI82A_CI82B,0.938
CI82B_CI82A,0.938
CI83A_CI20,0.898
CI84B_CI19,0.9015
CI85B_CI19,0.8981
CI86B_33-16,0.8896
CI88A_AusTRCF305802,0.923
CI89B_3167B,0.9245
CI90A_CI90C,0.9427
CI90C_CI90A,0.9427
CI91B_CI91BGoodman-Buckler,0.998
CI91BGoodman-Buckler_CI91B,0.998
CI91C_CI92,0.9935
CI92_CI91C,0.9935
CI93A_CI19,0.9111
